ondmora,id_ondmora,Casa feita na maioria por lona/plástico,Casa toda de tijolo e cimento (alvenaria),Nenhuma das opções acima,Sem informação_x,Homem Cisgênero,Homem trans,Mulher Cisgênera,Mulher trans,Nenhuma,Não binária,Outro/a,Sem informação_y,Travesti,Branca,Indígena,Negra,Total
Não moro em comunidade,0,0,0,0,3,0,0,1,0,1,0,0,0,1,1,0,2,3
Rocinha,1,0,7,1,0,0,0,0,6,0,0,0,0,2,0,0,8,8
Mangueirinha/Duque de Caxias,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Engenho da Rainha,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Maré,4,0,15,0,0,5,0,3,3,0,0,0,0,4,3,2,10,15
Vila Cruzeiro,5,1,5,1,0,1,0,0,1,0,0,1,1,3,0,0,7,7
Cajueiro,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Jacarezinho,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Complexo do Alemão,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Morro dos Prazeres,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Pavuna,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Cerro cora,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Palmares,12,0,9,0,0,2,1,0,5,1,0,0,0,0,0,0,9,9
Santa Cruz,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Ramos,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Vila Kennedy,15,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2
"Favela da Carobinha, Campo Grande (ZO-RJ)",16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Ceilândia - DF,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Fazendinha,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
